"skill","category","exp","competency","lastUse"
"Next JS", "Javascript", 1, 8, 2024.5
"Fastify JS", "Javascript", 0.5, 6, 2024.5
"Node JS","Javascript", 8, 10, 2024.5
"TypeScript","Javascript", 4, 10, 2024.5
"Nest JS","Javascript",0.5, 7, 2021.5
"Jest","Javascript",4.5, 10, 2024.5
"Chai","Javascript",3.2, 9, 2019.5
"Mocha","Javascript",2.8, 9, 2019.2
"Vue JS","Javascript", 0.75, 6, 2017.8
"React JS","Javascript", 4, 9, 2024.5
"Angular JS","Javascript", 2, 7, 2016
"Express JS","Javascript", 6, 9, 2019
"Kraken JS","Javascript", 2, 7, 2015
"JQuery","Javascript", 2, 6, 2014
"KOA 2","Javascript", 5.5, 8, 2020
"Loopback","Javascript", 1, 7, 2017
"Sail JS","Javascript", 0.25, 3, 2016
"Hapi","Javascript", 0.5, 5, 2017
"Socket.io","Javascript", 1, 6, 2023.25

"Java 11", "Java", 0.5, 6, 2020
"Java 8", "Java", 3, 7, 2020 
"Java 7", "Java", 1.5 , 6, 2013.5
"Java 5", "Java", 4 , 10 ,2011
"Java 1.4", "Java", 2.5 , 7 ,2007
"Cucumber", "Java", 1 , 8 ,2018
"Spring Boot", "Java", 4 , 7 ,2017
"JUnit", "Java", 3 , 7 ,2020
"Mockito", "Java", 0.5 , 6 ,2018
"JMeter", "Java", 3 , 7 ,2018.5
"Hibernate", "Java", 2 , 6 ,2012
"JBoss", "Java", 1.5 , 6 ,2012
"JPF", "Java", 1 , 8 ,2012
"Swing", "Java", 1 , 7 ,2010
"Hadoop", "Java", 0.75 , 4 ,2012
"J2EE", "Java", 1 , 6 , 2011
"Websphere", "Java", 1.5 , 6 , 2011
"Struts", "Java", 3 , 6 , 2010.25
"Java Concurrent", "Java", 2 , 7 , 2010.5
"Java Swing", "Java", 2 , 7 , 2009

"Django", "Python", 1 , 6 , 2016
"Pandas", "Python", 1 , 4 , 2014

"PeopleSoft", "ERP", 2.5 , 7 ,2005
"Crystal Report 10", "BI", 6 , 10 , 2007

"Open API 3", "Others", 3 , 8 , 2024.5
"SCRUM", "Methodology", 6.5 , 9 , 2024.5
"Kanban", "Methodology", 2.5 , 8 , 2023.5
"Waterfall", "Methodology", 9 , 10 , 2012
